"postal_code","geographic_unit_name","geographic_unit_fips","results","county_fips"
"TX","Mills","48333",2201,"48333"
"TX","Mitchell","48335",2316,"48335"
"TX","Montague","48337",7751,"48337"
"TX","Montgomery","48339",173113,"48339"
"TX","Moore","48341",4985,"48341"
"TX","Morris","48343",5139,"48343"
"TX","Motley","48345",600,"48345"
"TX","Nacogdoches","48347",20653,"48347"
"TX","Navarro","48349",15364,"48349"
"TX","Newton","48351",5869,"48351"
"TX","Nolan","48353",4575,"48353"
"TX","Nueces","48355",96104,"48355"
"TX","Ochiltree","48357",2993,"48357"
"TX","Oldham","48359",869,"48359"
"TX","Orange","48361",30518,"48361"
"TX","Palo Pinto","48363",9337,"48363"
"TX","Panola","48365",10230,"48365"
"TX","Parker","48367",47694,"48367"
"TX","Parmer","48369",2554,"48369"
"TX","Pecos","48371",4150,"48371"
"TX","Polk","48373",19134,"48373"
"TX","Potter","48375",26450,"48375"
"TX","Presidio","48377",1817,"48377"
"TX","Rains","48379",4087,"48379"
"TX","Randall","48381",49696,"48381"
"TX","Reagan","48383",843,"48383"
"TX","Real","48385",1535,"48385"
